Review,Score
"어떤 악역이 나와도 마동석이 죄다 줘팰거라는 믿음이 있어서 재밌게 볼 수 있었다. 덕분에 범죄영화의 폭력성에 압도되지 않아서 좋았다. 주먹이 오락이 되기 위한 완벽한 장치는 마동석 배우라는 치트키

마지막 장면에서 빌런이 발악하는 게 인상적이었음

근데 룸살롱 개싫어 우웩",2.5
마동석 유니버스의 시작,4.5
세금을 안내면 안되는 이유;;,3.5
킬링타임 넘버원,4
액션도 좋지만 윤계상의 연기가 더 좋다.,3
관객의 좋아할 요소를 모두 갖췄다,4
기억에 남는 여성 캐릭터도 살아남은 여성 배우도 없다는 게 아쉽다,3
느와르 오락영화로써 만족,4
신나게 먹었는데 속은 별로인 뷔페 같은,2.5
"범..상치 않은 형사 마석도가
죄..를 짓고 밀입국한 장첸과
도..처에 깔린 조폭들을
시..원하게 소탕하는 이야기",2.5
최근편 보고나서 2024년에 다시 보니까 장이수 처음에는 생각보다 깡다구 있고 용맹했네 ㅋㅋㅋㅋㅋㅋㅋ,3.5
"오랜만에 악역을 보면서 서늘함을 느낀 영화.
현실감이 느껴질 지경.",3.5
새로운 장르를 발굴,4
"아무래도범도는
즌1이제일재밋다",4
"한국의 웰메이드 범죄영화.
액션은 5점이지만 서사는 오점이다.",3.5
"시리즈물은 1편이 가장 재미있어...
이건 장첸의 점수.",4
한국에서 발견한 맛있는 마라롱샤,4
"묵직한 한 방[(물리), (드립)]들의 적절한 조화",3.5
한국영화 또 다른 장르의 시작,3.5
그래봤자 오락일 뿐.,3
프랜차이즈의 시작,3
적당한 긴장감과 적당한 재미를 잘 섞어만든 영화,3
이리와바요,3
한국형 히어로의 기민한 자기과시.,3
나쁜놈들은 다 잡아야하는 인과응보가 보였던 한국 특유의 영화면서도 그 과정과 결말이 깔끔하여 재미있게 봤다.,4.5
딱 여기까지만..,4
윤계상 잘하네,3.5
강한 히어로와 빌런의 충돌. 너무 흥미진진 하다.,5
"그냥 장르가 마동석임
그 이상도 이하도 아님",3
윤계상의 빌런 연기가 강렬해서 마동석이 기억이 안 났다..,3.5
범죄를 다스리는 한국형 히어로 그리고 매력적인 빌런,3
내가 아는 윤계상 아저씨는 늘 의사에다 훈남으로 나왓는데 여기선 장첸.,2.5
절대악이 너무나도 약할 때 느껴지는 허무함이란.,2.5
막바지 1:1이 너무 재밌었음,4.5
천만영화 시리즈가 되어버려서 어쩔수없이 본다...4편 보고 1편 보니 피드백을 받아들이긴 했구나 싶다,2.5
기본기 탄탄한 범죄영화,3.5
범죄도시는 용두사미임을 알려줘버린,5
시리즈가 나올수록 평이좋아질 영화,3
마동석이 대립한 빌런 중 가장 무서웠던 근데 결말은 다 알지,3.5
한국 범죄느와르의 최고봉 중 하나,4.5
1이 제일 낫다,4
범죄도시2를 보고 완전 빠져서 1도 보게 됐는데 뭔가 종합해서 평가하면 2가 더 긴장감 있게 딱 액션영화스럽게? 흘러가는 느낌이라면 1은 2보단 잔잔하지만 어디엔가 장첸이 살고 있을 것만 같은 기분이 들게하는 느낌이다.,4
"저 베이비 장첸 닮았다는 소리 많이 들었어요
내심 기분 좋았음",4.5
권선징악(주먹),3
악과 타협하는 마동석이 더욱 재밌어,5
"유머코드가 나와 안 맞는다.
그렇다고 액션 신을 보자니 그것도 수싸움이 있는 mma가 더 좋다.",2.5
윤계상한테 반 개,0.5
"관객 700만을 못넘다니

아쉽네

제일 재밌었는데",4.5
전설의 시작,4
"주인공이 걱정 안되는 영화 탑1
연기 구멍 없고 시리즈 중 가장 몰입도 높고 탄탄한 영화",3.5
그렇게 욕했지만 시리즈가 계속될수록 돌아보게 된다.,3.5
살면서 본 한국영화 중에 제일 좋음,5
마동석이라는 캐릭터를 최대로 활용한 장르 영화의 활력.,3.5
새로운 한국식 형사 영화,3
이거면 충분했는데,3.5
이때부터 장이수의 개큰고난이 시작됐구나,3
각 캐릭터가 시원시원해서 좋았다,4
시리즈 영화의 1편은 원래 재밌음,4
"1편만 봤을 때-
현실적이고 긴박한 한국식 형사물의 화려한 부활이구나!

시리즈를 계속 보고 나서 -
너만 형사물이고 나머진 히어로물이더라. 마석도씨는 미국가서 슈퍼솔저 혈청맞았다니?",4
"장첸의 추악함, 죽지않는 마동석",3
"나는 얼마 주면 목숨 먹고 일할까.란 생각을 하게 됐다.
일단 내 가치부터 따져보자.
평소 몸 관리는 따로 하지 않았으니 싸우는 일은 못한다.
그럼 머리는 잘 돌아가나?
아는 건 좀 있지만 목숨이 왔다갔다하는 일을 하기엔 쓸모없는 것들 뿐이다.
또 감정이 약해서 사람 이용할 줄도 모른다.
아냐.
마음 먹으면 악해질 수 있지 않을까.
그래도 E라서 어려우려나.
말만 하면 그 돈 다 준다고 하는데도 못할까?
이런 바보!!!
그러니 당하고 살지...",3
한국형 범죄느와르 시리즈의 서막,4
나이 제한의 과감함을 아름답다,4
미동석 액션 신드롬의 시작,3
한국 스낵무비의 정점이라고 할 수 있다,4
범죄도시의 고점. 장첸의 중요성,3
"진정한 범죄도시
1편을 뛰어넘는 후속작은 없다.",4
빌런이 매력적이었던 영화. 특히나 진선규 연기가 제일 소름끼쳤다,3.5
시리즈가 길어질수록 깊게 느껴지는 원조의 품격,3.5
한국 범죄영화계의 신흥 강자의 군림 세세하고 맛깔나는 캐릭터,4.5
폭력에 끌리는 타성의 촉진제,3.5
장첸은 한국 영화에서 잊혀질 수 없는 빌런,4
마동석의 주먹으로 끝나는 빌런의 빌드업,4
19금으로 분류되지 않았으면 더 성공했을 영화,4.5
장첸이 까주는 마라롱샤 먹고싶다,4.5
역시 첫편을 이기는 후속편은 없어,3.5
돈 받으러 왔는데 뭐 그거까지 알아야 되니.,2
섹시하지만 내 취향 아님 안 씻고 다니는 게 어울리는 섹시가 있고 아닌 섹시가 있는데 장첸은 좀 씻었으면 함,3.5
"""나쁜놈은 잡아야지!"" 거침이 없는걸까, 일방통행인 걸까
경찰로서 할 수 있는 건 '검거' 뿐인 시리즈에 그래도 서사가 있던 1편.",3.5
마동석영화,3
다크한 분위기를 잘 살렸고 캐릭터을 독보적으로 잘 뽑음,3.5
지금보니 편견물,3.5
"1은 오히려 황해나 나쁜놈들 전성시대의 아류 정도로
나쁘지 않은 프랜차이저였다.
장첸이라는 캐릭터의 발견이 예상 밖의 선전이었고
단독물로도 손색 없는. (오히려 그 편 나있을지도)",2
전형적인 한국 조폭 영화에 마동석식의 위트 섞기,2
마동석 영화중엔 이게 젤 낫다,3
범죄도시 시리즈 중 제일 괜찮다고 느낀 작품. 하얼빈 장췐의 카리스마가 강력했다.,2.5
분위기 캐릭터 등 잘 버무려져서 압도감을 준 영화,4.5
범죄도시'라는 제목이 찰떡처럼 어울린다.,4.5
맛있는 제육볶음,3
마동석이 질 수도 있겠다는 생각은 마동석의 영화를 더 흥미진진하게 만든다.,4
관객을 넘어 시리즈까지 장악해버린 장첸의 압도적인 아우라는 후속작 악역들이 보고 배워야 한다,3.5
"혼자야? 어, 아직 싱글이야.",2.5
흑흑 너무 잔인하다!,3
"거슬리는 부분은 있지만
오리지널리티를 가진 영화로서 시리즈를 안정감있게 끌어가는 힘이 있다",3.5
"여러 유행어를 만든 영화??
두 번이나 봤지만 여전히 재밌었다.",4.5
"... 이렇게 할 수 있으면서
범도4를 그렇게 만들어?

하고 화났는데
감독이 다른 사람인 걸 보고
모든 위화감이 이해됐다.

시나리오의 완성도, 연출의 몰입감 모두 남달랐다.
마동석의 연기력도 1이 훨씬 호소력 있었다.

1막 2막 3막 모두 긴장감의 끈을 놓을 수 없었고
3막에서 그간 나온 모든 인물들을 완벽하게 활용한다.

치밀한 설계 하에 만든 영화란 생각이 들었고
범죄도시 4는 설계력이 전혀 느껴지지 않았다.

감독이 남의 영화 (1, 23, 4 감독이 다 다르다)를
바통터치 받아 만들어서 애착이 덜 갔던 걸까?

게으른 영화와 애착있는 영화의 차이가 느껴지는 듯 했다.",3
후속작도 재밌지만 이때 잔혹함과 연출은 못이긴다,4.5
장첸 무서워어,4
개연성..,2
전형적인 한국 조폭 액션 영화…라고 하기엔 도파민 나오는 영화,5
"재미 상
연출 중
감성 하
인사이트 N",3.5
이런 영화가 정말로 성공한 상업 영화라고요...? 장첸이라는 캐릭터 말곤 건질 게 없는데?,1.5
"야이 개셰끼야 야야야야야 퍽퍽.퍽.퍽 이시팍셰키.
에이씨 이셰끼들이 다죽어봐. 퍽.퍽퍽.퍽퍽",2
액션과 개그의 조화로운 궁합.,3
"스토리, 분위기, 장첸연기까지 미쳤다",5
역시 마동석의 액션은 믿고본다,3.5
속도감있고 재밌었음. 마석도와 형사 캐릭터도 흥미롭고 가리봉동 주민들 참여로 조직을 잡는게 재밌었음,3
아우 쉰내나,2.5
"강력한 제노포빅의 영상화
“휴지를 이렇게 많이 쓰면 어떡하냐 세금도 안 내는 새끼가” 어떻게 이정도로 혐오를 담은 대사가.. -_-;;",3
"마형사가 초능력을 얻기 전, 과거의 모습을 담은 영화.",3
마동석 유니버스의 시발점,4
재미있는데 불쾌한게 더 커서 짜중남,1
뭐가 그렇게 재밌길래 4까지 나오나 궁금해서 봤는데 재밌네.. 그래도 이렇게 우릴 정도인가.. 불편한 장면도 많은데.. 2도 일단 봐보겠음,2.5
나도 드디어 이 영화 대사를 인용한 농담에 웃을 수 있게 되었다.,3.5
킬링타임용 수작 범죄도시는 1편이 근본이지,5
"그냥 너무 재미가 없다..
쓰여진 대사 하나하나가 너무 힘이 들어가 있다
배우들의 연기가 살림",2
마동석의 장기만으로는.,2.5
"매력적인척 하는 평면적 빌런, 유능한 척하는 무능한 경찰",2.5
"현재 범도 4까지 나오게 한 장본인. 시리즈 중 가장 밸런스 있었다. 마동석, 윤계상, 진선규가 만들어낸 코믹성 느와르의 새로운 맛.",4.5
쉬운 상대를 어렵게 잡는다.,5
실제 저런 형사는 없지 하는 판타지 느낌이 있으면서도 너무 허무맹랑하지 않아 좋다. 무거워지는 분위기를 한번씩 깨주는 적당한 농담까지. 1편은 훌륭한 범죄 오락물이었구나.,3.5
배우들 연기 미쳤다,5
와 ㅋㅋㅋㅋ 4까지 보고 다시보니까 이땐 폼 훨 좋았네,4.5
7/10점,3.5
최악. 이런 스토리가 어떻게 4편동안 흥행한건지 이해할수없다.,0.5
"범죄도시2를 봤는데 사람들이 1이 더 잔인하다 해서..
기대하고 봣는데 글쎄??
난 강해상 첫 씬이 더 강렬한 거같은데...ㅠㅠㅠ

1은 오락영화보다는 범죄영화의 성격이 훨씬 크넴
마동석도 룸싸롱 가는 경찰로 나오고 충격
좀 더 현실적인 느낌인데 난 2가 좋다...",3
전설의 시작 최고의 빌런이 있었기 때문에 시작 되었다,4
한국인가부장남자뽕 지림 내가 남자엿으면 이영화가 얼마나 재밋엇을까,1.5
수위가올라간 극한직업같은느낌. 여러모로 생각보다 잘만든 영화,4
"이 영화의 숨겨진 가치는
정말 훌륭한 배우들이 발굴된 계기였다는 거 아닐까",4
범죄자들을 한 방에 부셔버려 시원함을 느끼게해주는 마동석의 캐릭터를 만들어준 재미있는 영화,3.5
장첸 대박,4
"히어로 영화가 성공할 수 있는 가장 큰 이유, 매력적인 빌런",3.5
이어지는 한국영화 계보,3
액션의 타격감은 좋으나 여성 캐릭터의 도구적 사용은 불편.,3
"우려내기 전의 날 것 그대로의 싱싱한 한우 사골.
신선한 웃음, 신선한 케릭터.
그립다 이 1편의 찐득함과 충격이.
/
낡은 한줄평들.",4
무거운 권선징악의 이야기를 통쾌하게 전달할 수 있게 잘 설계된 앙상블과 미장센. 무엇보다도 언제 어떻게 긴장감을 불어넣고 폭발시킬지를 명확히 아는 리듬의 연출.,4
이게 시즌4까지 우려먹을 거리가 있나요?,2.5
예리하게 잘 깎은 인물들과 확실하고 묵직한 액션,3.5
"(TVING)

딱 2017년 감성 영화.",3
1편의 중후함.,3.5
하 너무 무섭다 엉엉,2.5
마석도와 장첸 감 다 살아있는 두 캐릭터의 완벽한 조합,4
1005461640번은봄ㄹㅇ,4.5
그저 그런 오락 영화의 새로운 기준. 자신이 만든 기준을 자신이 넘어서지 못하고 있는 아이러니.,2.5
마동석이 마동석 했다,4
범죄도시 1편은 앞으로 범죄도시 시리즈가 나올때마다 재평가 될듯하다,4
되새겨보니 더욱이 진득히 피어나는 진짜 '범죄'도시의 그리운 향취.,4
"다시 봤는데 새삼 인천공항 화장실 씬이 인상깊고 강렬하다.

격렬한 몸싸움 끝에 터져 물분수를 뿌려대는 호스.
검은 긴머리를 풀어 헤치고 물에 머리칼이 엉켜드는데
피가 묻은 얼굴로 악귀같은 비명을 질러대는 장첸.

범도는 청불로 가는게 맞다싶다",4.5
한국판 트랜스포머 1부,3
범죄도시 3보고 보너스 점수 부여합니다,3
"독사파 두목이 너무 일찍 죽어서 아쉬운건 말고는
올타임레전드

깔 게 없네. 3번 4번 봐도 재밌다.
한국영화에서 범도1은 레전드 반열인듯..",5
아우 내가 다 아퍼..,2.5
시리즈의 힘으로서의 캐릭터,3
한 방 한 방 핵주먹처럼 강력하다.,3.5
"잘 만들어진 장르가 쏟아붓는 쾌감, 카타르시스.",4
"역시 형만한 아우는 없다. 2편이 잔혹하고 매력적인 악역, 3편이 코믹하고 사랑스러운 사이드킥만 기억에 남는다면, 1편은 감독이 의도한 모든 장치들이 꽤나 조화롭게 어우러진 느낌을 준다. 속편들이 요즘 유튜브에서 유행하는 페이크다큐나 웹드라마를 본 느낌을 주는 것에 비한다면 1편은 분명 수작이다.",3
장첸 너무 멋있소,5
"지금이랑 톤이 많이 다름
장첸 때문에 플러스 점수 좀 줌",3
개인적으로 장첸보다 위성락캐릭터가 더 좋았다,3.5
장첸이짱임,4
범죄는 늘 많은 장소에서 일어나고 그들을 잡는 것은 경찰이 아니라 마동석 혼자의 힘뿐이였다.,3.5
마동석 장르'의 잔인한 시작.,4
이 시리즈는 마동석의 주먹질이 영화이며 주먹한테 감사해야한다.,3
그래 동석이형을 빌려서라도 현실이 주는 답답한 스트레스를 풀자,3
살벌한 범죄 조직원들과 그들에 상응하는 형사들의 이야기를 꽤나 튼튼하고 적절히 결합시킨 결과물.,3.5
"’단순’하기에는 생각보다 치밀한 웰메이드 영화.

범죄도시 시리즈중에는 단연코 최고.",4
장르영화에서 찝찝함이 느껴진다면,1
오로지 윤계상 때문에 4점..,4
"가장 제목하고 어울리는 1편
매력적인 악당들 가장 많이 나오는 편

장첸보다 위성락 양태 진짜 미친 사람 같았음
장첸은 너무 멋있어서 되려 영화적인 느낌
너무 멋있어서 마지막엔 약간 불쌍해보였음",2.5
"한국 범죄 영화의 맥을 계승할, 대체 불가한 배우 마동석.",3
작작내라,0.5
"""진실의 방으로""",4
괜한 플롯팅에 얽매이지 않고 캐릭터성과 장르적 쾌감으로 스타일을 짜다,4
하나의 영화를 극장에서 두번 보지 않는 주의인데 <베를린>(2012)과 더불어 두번 본 영화. 안산에서 한번 부산에서 한번. 정말 재밌었다. 실제 사건을 모티브로 살릴 것은 살리고 주류가 아니었던 배우들을 관객의 마음에 닿게 했다. 데뷔작이란 측면에서 더욱 놀라웠다. 두 영화를 같이 본 친구가 그리워지는 시점. 잘해봅시다. 좋은 일로 보고 싶어요.,3.5
생각보다 강렬함이 덜 했던 시리즈의 시초.,3
간만에 재밌게 본 한국형 액션,4.5
새로운 장르 개척!,4.5
장첸 너무나도 매력적이였던 빌런 청불등급이여도 대흥행을 거둘수 있다라는걸 당당하게 입증한영화,4
"진정한 의미로서의 한국형 느와르.
개인적으론, 2편 이후의 유쾌한 느낌도 좋지만 1편의 무거움도 다시 느껴보고 싶을때가 있다.",3.5
"헉스바뤼,, 개노잼..^.. ㅋ",0.5
캐릭터 하나하나 놓치지 않는 유머.,3
싹 쓸어버리는 마동석의 화끈한 액션과 재치있는 대사,4
마동석 장르에서도 빌런이 매력적이여야 하는 것을 장첸이 보여주었다.,3.5
하얼빈 출신인데에 반해 아쉬운 중국어 실력,3.5
캐릭터의 힘,3.5
빌런들의 컨셉과 말이 우리를 흥분시킨다,3.5
가끔 사람이 패고 싶은 날 마동석 보면 기분이 좋다,4
오곡햇반.,3.5
범죄도시 시리즈 중 가장 재밌었음,4
"액션은 확실히 좋다. 마동석이라는 배우의 가장 큰 장점, 몸을 잘쓴다는 것, 그리고 보여지는 퍼포먼스가 극대화되는 체격을 갖고 있다는 점을 잘 살렸다.

영화 내에서 가벼운 농담이나 여러 웃음 포인트는 즐기기엔 좋지만 결국 휘발성이 높았다.

다만, 윤계상의 연기는 가히 인상적이다. 선한 이미지에서 조선족 조폭으로 순식간에 이미지를 바꿔낼 수 있다는 것에 놀랐다.

여러 장면들에서 <나쁜 놈을 잡기 위한 나쁜 놈>의 분위기가 썩 유쾌하진 않았지만, 나에게 피해를 주는 나쁜 놈을 잡기 위한 나에게 피해를 주지 않는 나쁜 놈이 어렵진 않았다.

머리로는 이해하지만 묘한 불쾌감을 걷어내지 못하는 점과 ‘마동석 사이다’에 의존적인 점이 킬링타임용 영화로 머물게 한다.",3
마동석이란 장르의 마스터피스.,4
오락 영화. 마동석의 주먹은 자비가 없다.,2
1편까지가 딱 좋았다,3.5
킬링타임 영화의 마지노선이 아닐까,3
잔인한 거 못보는데 약속된 사이다에 끝까지 봤다 영화 몰입감에 조선족 배우분들이 큰 몫한 듯,3.5
"주제에 맞는 어두운 분위기와 연기, 위트의 조화",4
꼴보기싫은 남자의 허세 총집합,1
우두머리를 잡기위해 수단과 방법을 가리지 않는다,3.5
장첸이 누군지 알게됨,4.5
깔끔 호쾌 유쾌,3.5
장첸,3
시즌마다 나오는 코미디한국영화 근데 원초적으로 재밌음,3.5
"장르 마동석의 시작
속편이 나올수록 늘어나는 평점",4
킬링타임쓰,2.5
재미(만) 있었음,3.5
잘 만들어진 두 캐릭터 간의 경쟁 구도를 보는 쏠쏠한 재미,4
"재미가있기는 한데
볼때마다 졸리다ㅠㅠ
여러 조직(독사파, 이수파, 춘식이파, 흑룡파)이 나오는 데 내가 조직명&조직원 등 관계 파악이 빨리 안되어서 그런거같기도 하고ㅋㅋ

진실의방도 드디어 봤네ㅋㅋ 매번 자다가 못봤었디",3.5
딱 킬링타임으로 적당한,3
